Ballpark,Coordinates,3d Modeled,Panoramic Modeled,Diagram,Park File,OOTP 3D,Seating Chart
Arthur W. Perdue Stadium,"38.369896124581956, -75.53022641618765",,,Yes,,,Yes
Atrium Health Ballpark,"35.49801367875339, -80.62741742351557",,,Yes,,,Yes
Bank of the James Stadium,"37.392642476956105, -79.1656628400256",Yes,,Yes,,,N/A
"Joseph P. Riley, Jr. Park","32.790862639662315, -79.9612450085953",,,Yes,,,Yes
L.P. Frans Stadium,"35.74884898692977, -81.3789484439679",,,Yes,,,Yes
Pelicans Ballpark,"33.711736314011645, -78.8845528052811",,,Yes,,,Yes
Salem Memorial Ballpark,,,,Yes,,,Yes
Segra Park,,,,Yes,,,Yes
Segra Stadium,,Yes,,Yes,,,N/A
SRP Park,,,,,,,Yes
Virginia Credit Union Stadium,,,,,,,Yes
Wilson Stadium,,Yes,,,,,N/A
